Epoch,Train_Loss,Train_Accuracy,Test_Accuracy
1,42.15367078781128,75.46230440967283,81.39204545454545
2,37.857336193323135,79.51635846372689,81.81818181818181
3,37.29925659298897,79.97866287339971,81.17897727272727
4,36.93707114458084,80.049786628734,81.32102272727273
5,36.74320527911186,80.17425320056898,80.68181818181819
6,36.47763939201832,80.42318634423897,81.46306818181819
7,36.25998155772686,80.56543385490754,81.5340909090909
8,35.98570251464844,80.65433854907539,81.17897727272727
9,35.97966793179512,80.97439544807966,81.88920454545455
10,35.667195200920105,80.88549075391181,80.82386363636364
11,35.409719690680504,81.16998577524893,81.32102272727273
12,35.4392995685339,81.25889046941678,81.5340909090909
13,35.389378130435944,81.02773826458036,81.39204545454545
14,34.93234580755234,81.34779516358464,80.61079545454545
15,34.95053978264332,81.5433854907539,81.03693181818181
16,34.52589216828346,81.61450924608819,81.03693181818181
17,34.64445447921753,81.1877667140825,81.10795454545455
18,34.51063388586044,81.3122332859175,81.25
19,34.22649973630905,82.18349928876245,80.89488636363636
20,34.04911060631275,81.61450924608819,81.03693181818181
21,33.60023444890976,81.89900426742533,80.82386363636364
22,33.35633039474487,82.0945945945946,80.32670454545455
23,33.06630638241768,82.21906116642958,79.82954545454545
24,32.98130467534065,82.21906116642958,80.04261363636364
25,32.91590990126133,82.30796586059743,80.46875
26,32.613328248262405,82.59246088193457,80.32670454545455
27,32.21328008174896,82.61024182076814,80.32670454545455
28,32.052476301789284,82.7524893314367,80.11363636363636
29,31.67595775425434,83.00142247510668,80.11363636363636
30,31.409410566091537,83.26813655761025,80.53977272727273
31,31.182857036590576,83.28591749644382,78.76420454545455
32,30.75117988884449,83.55263157894737,79.9715909090909
33,30.532659277319908,83.69487908961594,79.6875
34,30.205852508544922,84.3705547652916,78.83522727272727
35,29.796607211232185,84.24608819345661,79.82954545454545
36,29.566083058714867,84.21052631578948,79.82954545454545
37,29.429952159523964,84.28165007112375,79.04829545454545
38,29.07222418487072,84.70839260312944,79.54545454545455
39,28.578314885497093,84.70839260312944,80.04261363636364
40,28.548289209604263,84.92176386913229,79.54545454545455
41,28.172970056533813,85.31294452347083,78.76420454545455
42,28.014615669846535,85.38406827880512,79.4034090909091
43,27.57449273765087,85.56187766714082,78.83522727272727
44,27.31761683523655,85.47297297297297,77.55681818181819
45,27.470439732074738,85.13513513513513,78.48011363636364
46,26.80547323822975,86.02418207681366,79.61647727272727
47,26.61271595954895,86.34423897581793,78.26704545454545
48,26.222909912467003,86.09530583214794,77.98295454545455
49,26.010344207286835,86.46870554765292,78.48011363636364
50,25.491864785552025,86.7709815078236,78.19602272727273
